日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,stock_code
2026-04-28,000300,沪深300,CSI 300,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,000001
2026-04-28,000300,沪深300,CSI 300,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000002
2026-04-28,000300,沪深300,CSI 300,000063,中兴通讯,ZTE Corporation,深圳证券交易所,Shenzhen Stock Exchange,000063
2026-04-28,000300,沪深300,CSI 300,000100,TCL科技,TCL Technology Group Corporation,深圳证券交易所,Shenzhen Stock Exchange,000100
2026-04-28,000300,沪深300,CSI 300,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000157
2026-04-28,000300,沪深300,CSI 300,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,000166
2026-04-28,000300,沪深300,CSI 300,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,000301
2026-04-28,000300,沪深300,CSI 300,000333,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,000333
2026-04-28,000300,沪深300,CSI 300,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000338
2026-04-28,000300,沪深300,CSI 300,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange,000408
2026-04-28,000300,沪深300,CSI 300,000425,徐工机械,XCMG Construction Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000425
2026-04-28,000300,沪深300,CSI 300,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,000538
2026-04-28,000300,沪深300,CSI 300,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000568
2026-04-28,000300,沪深300,CSI 300,000596,古井贡酒,Anhui Gujing Distillery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000596
2026-04-28,000300,沪深300,CSI 300,000617,中油资本,CNPC Capital Company Limited,深圳证券交易所,Shenzhen Stock Exchange,000617
2026-04-28,000300,沪深300,CSI 300,000625,长安汽车,Chongqing Changan Automobile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000625
2026-04-28,000300,沪深300,CSI 300,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,深圳证券交易所,Shenzhen Stock Exchange,000630
2026-04-28,000300,沪深300,CSI 300,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen Stock Exchange,000651
2026-04-28,000300,沪深300,CSI 300,000661,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,深圳证券交易所,Shenzhen Stock Exchange,000661
2026-04-28,000300,沪深300,CSI 300,000708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,000708
2026-04-28,000300,沪深300,CSI 300,000725,京东方A,BOE Technology Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000725
2026-04-28,000300,沪深300,CSI 300,000768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,深圳证券交易所,Shenzhen Stock Exchange,000768
2026-04-28,000300,沪深300,CSI 300,000776,广发证券,"GF Securities Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,000776
2026-04-28,000300,沪深300,CSI 300,000786,北新建材,Beijing New Building Materials Public Ltd Co,深圳证券交易所,Shenzhen Stock Exchange,000786
2026-04-28,000300,沪深300,CSI 300,000792,盐湖股份,Qinghai Salt Lake Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000792
2026-04-28,000300,沪深300,CSI 300,000807,云铝股份,Yunnan Aluminium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000807
2026-04-28,000300,沪深300,CSI 300,000858,五 粮 液,Wuliangye Yibin Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000858
2026-04-28,000300,沪深300,CSI 300,000876,新 希 望,"NEW HOPE LIUHE CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,000876
2026-04-28,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000895
2026-04-28,000300,沪深300,CSI 300,000938,紫光股份,"Unisplendour Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,000938
2026-04-28,000300,沪深300,CSI 300,000963,华东医药,Huadong Medicine Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,000963
2026-04-28,000300,沪深300,CSI 300,000975,山金国际,"Shanjin International Gold Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,000975
2026-04-28,000300,沪深300,CSI 300,000977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange,000977
